753,619
128,1241
886,-1013
362,1278
-83,469
-966,560
173,1550
932,-2114
-861,1151
183,654
-380,1405
-1285,546
-20,875
-197,1237
-461,1211
-1222,706
-1420,771
1292,-156
1051,-725
1178,-1136
1209,-814
258,1405
-225,709
193,-625
298,-453
-135,-728
1318,-1970
579,347
-339,1304
-835,514
599,1062
-870,586
1840,-826
-317,-844
235,1424
-2044,-469
-1336,223
-46,1040
1056,-1102
-449,985
526,-2233
1645,-1281
-850,702
244,-887
752,-182
-1327,625
580,-1935
-374,835
-237,1234
909,-1316
-208,-1489
-146,273
-1134,318
-26,1295
-560,1014
-608,1203
568,-679
-244,487
-1090,813
1830,-1436
-215,205
-1125,315
1416,-463
-628,819
-1267,808
-723,71
-379,1295
1863,-1724
-1092,505
1022,519
-869,511
-770,864
-944,-307
426,734
644,-657
-188,1351
-989,83
-1404,310
-1331,535
-367,-1184
96,907
-17,748
1450,-254
-241,732
-43,1170
1376,-1222
-1023,256
424,-1177
-599,964
-619,878
-637,141
-487,550
-814,892
-307,798
154,473
-433,1057
883,412
-997,-20
-892,348
432,520
630,-1454
1412,-1690
1025,-604
-926,574
1719,-722
-867,142
223,-1423
200,1243
543,620
370,1304
242,209
14,-213
40,499
1095,-1888
502,-1148
-322,1043
-1053,712
-1352,722
487,-2195
637,1056
-1345,655
1310,-1455
365,-1736
-876,-255
250,1491
-116,286
204,915
-988,764
352,866
-728,598
1152,-66
-977,574
-301,-1444
-730,92
1589,-1104
1750,-1825
-330,-1137
-485,-538
2171,-1467
381,-1528
816,369
212,386
-775,275
-980,584
-707,-462
481,846
24,-1752
295,1466
1813,-748
-857,179
758,889
-761,936
895,-2042
-388,-279
-577,861
412,-1490
858,-402
-100,-1623
-1263,183
-855,1037
-1097,14
373,-1113
-988,-21
1441,-1591
227,-288
568,120
-1501,784
-1243,617
1550,-1002
-159,1052
206,-1235
-1564,641
-48,-1589
221,887
27,1412
-216,47
796,-1261
-693,318
-918,513
886,88
-1227,622
348,1012
587,-265
-196,-867
-359,1291
76,801
319,-835
-1125,438
469,1287
126,1300
-149,-606
-1300,277
495,-2163
-1161,168
449,846
-594,1264
-737,1179
753,1136
-70,-1505
-473,311
-22,1203
-1085,474
-1209,733
1040,-1426
-1404,312
479,1414
-951,-7
151,1447
821,866
279,-584
-1314,448
-583,-471
577,112
-141,1554
547,111
1244,-1722
1822,-1473
-322,-1139
-1059,248
-1152,380
87,1201
1470,-939
-60,18
-133,1478
-486,-1252
1586,-981
35,1091
396,1428
0,377
1328,-34
-12,165
999,-2284
-220,1510
70,991
1474,-1080
1497,-1447
30,-917
883,-2339
-2048,-462
115,-1299
375,-1530
504,-1946
-2144,-305
-23,1596
1112,-953
767,544
1508,-1328
603,-974
39,-184
-135,434
-559,1115
737,-1005
1536,-184
1188,-2041
1427,-562
197,-1415
1877,-1621
-1378,311
-65,952
275,-1188
-479,-396
787,-1692
-460,988
632,905
77,-466
-1249,219
309,1471
638,-1669
814,1035
2007,-1251
-807,709
-1324,425
240,340
-577,118
1449,-668
278,1499
1335,-226
143,-1768
-962,1104
-301,444
-645,173
-1144,829
-951,886
1835,-1352
1095,-1296
-905,453
1103,-1392
1396,-1702
710,425
1005,302
-566,-662
-124,1262
-970,48
1163,-217
-337,1019
-284,1258
-157,90
410,-808
-198,643
-56,729
621,-1897
-227,1092
-450,-818
620,1045
1577,-174
-1141,155
-874,544
242,785
223,209
1203,-1650
952,-139
1525,-1244
-986,-236
522,-2553
-1171,437
5,631
-615,-806
-181,-554
318,1706
468,257
-1830,-819
457,-756
-54,554
1198,219
541,891
137,432
-1065,924
-1092,-150
-1306,193
-465,383
207,-1649
528,198
929,-784
-7,-1167
-942,141
-84,1470
-819,478
344,1507
-1108,501
-1407,590
775,-2195
-44,-1390
1605,-576
512,-418
501,62
-1193,-1860
-1520,671
561,1166
1485,-725
-617,299
-263,819
1372,-1947
-359,-535
-2278,-86
438,1048
-204,1324
1314,-1246
-1133,476
-817,1180
-1261,410
-1216,35
945,-239
1405,0
-222,1150
1709,-1738
1697,-903
-1176,359
1051,-2036
166,1651
-1105,306
659,-2370
-95,1042
-93,845
483,1402
-849,803
-325,1430
-1324,389
768,-2006
79,-1387
-628,-831
-48,-962
-435,1338
81,-907
-177,-1379
-250,1432
-1257,396
-3,612
-302,1106
-588,676
639,-876
-1298,399
-895,-63
-1421,312
77,385
111,-1896
-1248,73
715,-687
-630,693
-898,961
